"Date (Thursdays, 4-5:30 PM) ",Eco-Data-Science Meetup Topic,NCEAS Meetup Topic,Topic Leader,Location
3/19/2018 (Monday),Build a website with blogdown (3/14),Blogdown,,Lounge
29-Mar,NA,Tibbletime/time series,Irene,Lounge
5-Apr,Intro to Shiny (4/4),Shiny,,Lounge
12-Apr,Cancelled,,,
19-Apr,Analyzing text in R (4/18),Analyzing Text,,Lounge
26-Apr,Cancelled (big data conference @ucsb),,,
3-May,How to Create an R Package(5/2),R packages,Irene,Lounge
10-May,NA,Data exploration / methods selection,Steph,Lounge
17-May,NA,Interactive data vis: Leaflet and Bokeh,Rachel,Lounge
24-May,Intro to Python (5/23),Python,Rachel,Lounge
31-May,NA,,,Lounge
7-Jun,TBD (6/6),TBD Eco-data-science,,Lounge
14-Jun,NA,,,Lounge
21-Jun,NA,,,Lounge
28-Jun,NA,,,Lounge
5-Jul,NA,,,Lounge
12-Jul,NA,,,Lounge
19-Jul,NA,,,Lounge
26-Jul,NA,,,Lounge


